dist	strand	type
2	+	model1
3	+	model1
1	+	model1
5	+	model1
-15	+	model1
-15	+	model1
75	+	model1
75	+	model1
205	+	model1
205	+	model1
205	+	model1
205	+	model1
205	+	model1
205	+	model1
17	+	model1
-29	+	model1
-93	+	model1
-117	+	model1
-6	+	model1
-12	-	model1
-12	-	model1
-11	-	model1
-17	-	model1
10	-	model1
-5	-	model1
29	-	model1
86	-	model1
0	-	model1
-125	+	model1
-1	-	model1
0	+	model1
-164	+	model1
4	+	model1
4	+	model1
2	+	model1
0	+	model1
-17	+	model1
66	+	model1
-83	+	model1
-68	+	model1
-50	+	model1
-1	+	model1
-1	+	model1
-12	+	model1
168	-	model1
146	-	model1
55	-	model1
82	-	model1
58	-	model1
250	-	model1
-2	-	model1
133	-	model1
133	-	model1
-292	+	model1
-92	+	model1
-11	+	model1
-11	+	model1
22	+	model1
-48	+	model1
-20	+	model1
5	+	model1
9	+	model1
-118	+	model1
35	-	model1
-10	-	model1
-10	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
70	-	model1
70	-	model1
70	-	model1
70	-	model1
135	-	model1
-222	-	model1
-222	-	model1
-50	-	model1
83	-	model1
83	-	model1
83	-	model1
-85	-	model1
-85	-	model1
14	+	model1
-31	+	model1
-76	+	model1
-9	+	model1
-9	+	model1
0	+	model1
-205	+	model1
3	+	model1
1	+	model1
-15	+	model1
-15	+	model1
75	+	model1
75	+	model1
-29	+	model1
-117	+	model1
-12	-	model1
-12	-	model1
0	-	model1
-11	-	model1
-5	-	model1
29	-	model1
29	-	model1
86	-	model1
86	-	model1
-15	-	model1
44	-	model1
44	-	model1
-125	+	model1
-1	-	model1
0	+	model1
-25	+	model1
-164	+	model1
-51	+	model1
-62	+	model1
21	+	model1
4	+	model1
1	+	model1
1	+	model1
0	+	model1
-62	+	model1
-62	+	model1
-17	+	model1
66	+	model1
-46	+	model1
-46	+	model1
70	+	model1
-64	+	model1
-68	+	model1
-12	+	model1
-50	+	model1
-10	+	model1
-1	+	model1
-12	+	model1
-14	-	model1
23	-	model1
205	-	model1
-70	-	model1
146	-	model1
-7	-	model1
182	-	model1
182	-	model1
28	-	model1
28	-	model1
26	-	model1
88	-	model1
82	-	model1
-27	-	model1
-3	-	model1
-3	-	model1
58	-	model1
250	-	model1
-16	-	model1
32	-	model1
-64	+	model1
-292	+	model1
-11	+	model1
-11	+	model1
-19	+	model1
-19	+	model1
123	+	model1
-30	+	model1
-74	+	model1
-39	+	model1
2	+	model1
-49	+	model1
-49	+	model1
-45	+	model1
2	+	model1
-3	+	model1
0	+	model1
-68	+	model1
-10	+	model1
-186	+	model1
-84	+	model1
-84	+	model1
-106	+	model1
-55	+	model1
-92	+	model1
11	+	model1
66	-	model1
-351	-	model1
-61	-	model1
-282	-	model1
-324	-	model1
-101	-	model1
28	-	model1
47	-	model1
62	-	model1
62	-	model1
38	-	model1
58	-	model1
46	-	model1
84	-	model1
30	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
-31	-	model1
2	-	model1
-82	-	model1
29	-	model1
-13	-	model1
146	-	model1
-22	-	model1
-20	-	model1
0	-	model1
-8	-	model1
-123	+	model1
-87	+	model1
-21	+	model1
-219	+	model1
38	+	model1
3	+	model1
26	-	model1
-51	+	model1
3	+	model1
1	+	model1
-32	+	model1
-15	+	model1
17	+	model1
-29	+	model1
-6	+	model1
-12	-	model1
-12	-	model1
24	-	model1
-5	-	model1
44	-	model1
-125	+	model1
-1	-	model1
-126	-	model1
0	+	model1
-1	+	model1
-49	+	model1
0	+	model1
-45	+	model1
-10	+	model1
-84	+	model1
-84	+	model1
-27	+	model1
-55	+	model1
-9	+	model1
-151	+	model1
46	-	model1
16	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
2	-	model1
-123	+	model1
-12	+	model1
-21	+	model1
-219	+	model1
2	+	model1
2	+	model1
0	+	model1
0	+	model1
-20	+	model1
2	+	model1
5	+	model1
5	+	model1
29	+	model1
-118	+	model1
-56	+	model1
-56	+	model1
1	-	model1
1	-	model1
129	-	model1
10	-	model1
-16	-	model1
12	-	model1
35	-	model1
40	-	model1
228	-	model1
228	-	model1
-22	-	model1
2	-	model1
-71	-	model1
-71	-	model1
-86	-	model1
-10	-	model1
-10	-	model1
88	-	model1
88	-	model1
88	-	model1
88	-	model1
48	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
70	-	model1
70	-	model1
70	-	model1
70	-	model1
-21	-	model1
135	-	model1
-30	-	model1
-23	-	model1
-23	-	model1
5	-	model1
-25	-	model1
18	-	model1
-71	-	model1
94	-	model1
94	-	model1
83	-	model1
83	-	model1
83	-	model1
-85	-	model1
-85	-	model1
-140	-	model1
21	-	model1
-37	-	model1
14	+	model1
-1	+	model1
-115	+	model1
-91	+	model1
-53	+	model1
-53	+	model1
16	+	model1
5	+	model1
-2	+	model1
-46	+	model1
0	+	model1
-205	+	model1
1	+	model1
-15	-	model1
130	-	model1
-4	-	model1
-3	-	model1
-3	-	model1
-158	-	model1
-158	-	model1
-6	-	model1
252	+	model1
-46	-	model1
-46	-	model1
21	+	model1
-108	+	model1
-20	+	model1
5	+	model1
9	+	model1
-118	+	model1
12	-	model1
35	-	model1
165	-	model1
-10	-	model1
-10	-	model1
88	-	model1
88	-	model1
88	-	model1
88	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
70	-	model1
70	-	model1
70	-	model1
70	-	model1
135	-	model1
-4	-	model1
83	-	model1
83	-	model1
83	-	model1
-37	-	model1
-74	+	model1
-191	+	model1
-10	+	model1
0	+	model1
-205	+	model1
-205	+	model1
-28	-	model1
1	+	model1
-146	+	model1
-24	-	model1
-27	-	model1
21	+	model1
-20	+	model1
2	+	model1
5	+	model1
-27	+	model1
9	+	model1
-118	+	model1
-163	+	model1
-39	+	model1
1	-	model1
-17	-	model1
12	-	model1
35	-	model1
228	-	model1
228	-	model1
-22	-	model1
2	-	model1
-86	-	model1
-10	-	model1
-10	-	model1
88	-	model1
88	-	model1
88	-	model1
88	-	model1
48	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
-19	-	model1
70	-	model1
70	-	model1
70	-	model1
70	-	model1
135	-	model1
