group	variable	value
nc	mean	0.917173824916666
nc	mean	0.963480140252101
nc	mean	0.0452855409583333
nc	mean	0.412466467068966
nc	mean	0.737860591416667
nc	mean	0.845650060666667
nc	mean	0.858921080333333
nc	mean	0.9755206465
nc	mean	0.893985814333333
nc	mean	0.371316965083333
nc	mean	0.963594905042017
nc	mean	0.967450769411765
nc	mean	0.931574179916667
nc	mean	0.988095126554622
nc	mean	0.848700450166667
nc	mean	0.88949362225
lower	mean	0.0364412217416666
lower	mean	0.944780630254237
lower	mean	0.374890900666667
lower	mean	0.192862451083333
lower	mean	0.326422302333333
lower	mean	0.319283529416667
lower	mean	0.404263902083333
lower	mean	0.0866883042166666
lower	mean	0.276653269083333
lower	mean	0.223291964789916
lower	mean	0.0367820630333333
lower	mean	0.963036592
lower	mean	0.0726660222083333
lower	mean	0.0879464052083333
lower	mean	0.845277270583333
lower	mean	0.942352109152542
lower	mean	0.867340018916667
lower	mean	0.940668211666667
lower	mean	0.514237549083333
lower	mean	0.03512777105
lower	mean	0.0222844147788135
lower	mean	0.3682004855
lower	mean	0.296379265833333
lower	mean	0.062493567425
lower	mean	0.045668351975
lower	mean	0.12687332285
lower	mean	0.0771694264789916
lower	mean	0.293199236583333
lower	mean	0.296195246666667
lower	mean	0.10933105995
lower	mean	0.0812429655916666
lower	mean	0.588986606833333
lower	mean	0.0502013864333333
lower	mean	0.1467409585
lower	mean	0.120511493958333
lower	mean	0.1679937745
lower	mean	0.487601305833333
lower	mean	0.912379097916667
lower	mean	0.058576213605042
lower	mean	0.13960819505
lower	mean	0.0369694114873949
lower	mean	0.157933035633333
lower	mean	0.963655360166667
lower	mean	0.159911965825
lower	mean	0.135143667991667
lower	mean	0.127296801841667
lower	mean	0.463290675546219
lower	mean	0.17598248075
lower	mean	0.228380920583333
lower	mean	0.31631820025
lower	mean	0.0615447428583333
lower	mean	0.173462154083333
lower	mean	0.210473516966386
lower	mean	0.1185917438
lower	mean	0.0712831783396226
lower	mean	0.199177874117647
lower	mean	0.0195877301666666
lower	mean	0.87630628025
lower	mean	0.20684126
lower	mean	0.2495292115
lower	mean	0.484777990252101
lower	mean	0.206203861916667
lower	mean	0.506372592
lower	mean	0.278616599333333
lower	mean	0.157206093166667
lower	mean	0.0823231103333333
lower	mean	0.92131879075
lower	mean	0.166843310666667
lower	mean	0.0373144977583333
lower	mean	0.0748497452166666
lower	mean	0.067049079875
lower	mean	0.744357843083333
lower	mean	0.34211257775
lower	mean	0.95157595075
lower	mean	0.450423356
lower	mean	0.169254973
lower	mean	0.136030855218487
lower	mean	0.075122029675
lower	mean	0.124287378158333
lower	mean	0.0520220994333333
lower	mean	0.5598197185
lower	mean	0.139402906883333
lower	mean	0.322363115333333
lower	mean	0.115640238283333
lower	mean	0.987322147372882
lower	mean	0.85304275175
lower	mean	0.0894729124666666
lower	mean	0.943814931
lower	mean	0.930112864916667
lower	mean	0.100915176125
lower	mean	0.0483058663583333
lower	mean	0.40293068575
lower	mean	0.0873271890833333
lower	mean	0.770758492416667
lower	mean	0.0861208614833333
lower	mean	0.2107126535
lower	mean	0.0617967770583333
lower	mean	0.057814977
lower	mean	0.0317670019166666
lower	mean	0.379634543166667
lower	mean	0.0754631964
lower	mean	0.09216683355
lower	mean	0.0419028354916666
lower	mean	0.405303156666667
lower	mean	0.96627347525
lower	mean	0.203059651333333
lower	mean	0.0860778057
lower	mean	0.114705277058823
lower	mean	0.121445628458333
lower	mean	0.0277381821260504
lower	mean	0.189699918319328
lower	mean	0.361295632333333
lower	mean	0.949054368333333
lower	mean	0.517485608916667
lower	mean	0.6869640895
lower	mean	0.0577683842083333
lower	mean	0.1261125978
lower	mean	0.824745804916667
lower	mean	0.98589190220339
lower	mean	0.269105974833333
lower	mean	0.0839844913916666
lower	mean	0.477547018416667
lower	mean	0.0869873197
lower	mean	0.0320641439833333
