Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000237402.1	0.201386	0.092232	0.179861
ENSG00000237728.2	0.0	0.0	0.0
ENSG00000225126.1	0.487154	0.35863	0.306369
ENSG00000270171.1	0.043644	0.051575	0.022543
ENSG00000270035.1	0.216815	0.278836	0.05102
ENSG00000269978.1	0.56524	0.694106	0.140942
ENSG00000049245.13	155.355	119.335	76.0818
ENSG00000269925.1	3.62892	3.20206	1.72512
ENSG00000049246.15	16.6634	8.24685	9.09653
ENSG00000236266.1	1.3303	0.670626	0.531955
ENSG00000049247.14	0.0504805	0.07422	1.04121
ENSG00000049249.9	0.0423205	0.091523	0.034322
ENSG00000270330.1	0.0	0.0	0.0
ENSG00000116288.13	191.14	191.743	254.318
ENSG00000200344.1	0.0	0.0	0.0
ENSG00000284747.1	1.03939	1.3089	0.327757
ENSG00000284716.1	0.15948	0.213505	0.035398
ENSG00000116285.13	177.187	145.323	23.7441
ENSG00000238290.1	0.262742	0.201112	0.051257
ENSG00000232848.1	0.0390775	0.0	0.0
ENSG00000229305.1	0.0	0.0	0.0
ENSG00000288816.1	0.0	0.0	0.0
ENSG00000227634.3	0.0	0.0	0.0
ENSG00000200975.1	0.0	0.0	0.0
ENSG00000233645.1	0.0	0.0	0.0
ENSG00000251977.1	0.0	0.0	0.0
ENSG00000162426.16	6.14552	5.07994	2.71143
ENSG00000252254.1	0.0	0.0	0.0
ENSG00000142599.19	61.2818	38.5771	37.8541
ENSG00000232912.6	1.8194	1.06679	1.2553
ENSG00000221083.1	0.0	0.0	0.0
ENSG00000270282.1	0.0	0.0	0.0
ENSG00000234619.1	0.0619645	0.066275	0.044196
ENSG00000224315.2	0.052447	0.054314	0.032963
ENSG00000222511.2	0.0	0.0	0.0
ENSG00000226545.1	0.0	0.0	0.0
ENSG00000228423.2	0.0	0.0	0.0
ENSG00000229716.2	0.0	0.0	0.0
ENSG00000074800.16	421.972	370.656	306.391
ENSG00000274258.1	0.0	0.0	0.0
ENSG00000230679.1	0.788613	0.536248	0.385565
ENSG00000201725.1	0.0	0.0	0.0
ENSG00000238249.2	0.061317	0.053502	0.029574
ENSG00000232208.2	0.0	0.0	0.0
ENSG00000232663.2	0.0	0.0	0.0
ENSG00000131686.15	0.0	0.0	0.0
ENSG00000265141.2	0.0	0.0	0.0
ENSG00000197241.4	0.0	0.025719	0.0
ENSG00000142583.18	2.44204	2.04682	2.38806
ENSG00000252404.1	0.0	0.0	0.0
ENSG00000180758.12	3.34913	4.06581	5.55264
ENSG00000228526.7	3.0484	2.6914	7.82166
ENSG00000234546.5	0.622781	0.618165	2.21194
ENSG00000049239.13	52.6546	49.908	46.4533
ENSG00000171621.14	61.5651	47.6661	7.02903
ENSG00000284652.1	0.440418	0.23864	0.117357
ENSG00000284693.2	1.35404	0.805908	0.593323
ENSG00000252956.1	0.0	0.0	0.0
ENSG00000235263.1	0.13974	0.202295	0.0
ENSG00000171612.7	6.95937	8.52773	3.00617
ENSG00000231181.1	0.841712	0.734844	0.353172
ENSG00000188807.13	5.15551	5.55072	4.85554
ENSG00000171608.17	9.52792	11.9204	3.7749
ENSG00000179840.5	0.046927	0.064089	0.022572
